,,,,,,,,WMT24,,,,,,,,,,ArenaHard,,,,,,IFEval,,,
,Model,Params,AVG all lps,AVG en-xx,AVG xx-yy,IFEval Avg,ArenaHard Avg,en-de,en-es-latam,en-cs,en-ru,en-uk,en-ja,en-zh-cn,en-hi,cs-uk,ja-zh-cn,en,de,es,zh,ru,ko,prompt_loose,prompt_strict,ins_loose,ins_strict
Proprietary,gpt-4o-2024-11-20,100,0.8520,0.8463,0.8751,0.8520,#DIV/0!,0.8320,0.8447,0.8696,0.8375,0.8644,0.8796,0.8538,0.7886,0.9006,0.8495,,,,,,,0.8540,0.8022,0.8945,0.8573
Proprietary,claude-3-7-sonnet-20250219,100,0.8512,0.8456,0.8738,0.8995,#DIV/0!,0.8310,0.8421,0.8712,0.8376,0.8637,0.8775,0.8548,0.7868,0.9031,0.8444,,,,,,,0.8965,0.8632,0.9317,0.9065
Open Instruct LLMs,Llama-3.2-3B-Instruct,3,0.7025,0.7053,0.6917,0.7761,#DIV/0!,0.7405,0.7743,0.6444,0.6514,0.6364,0.7597,0.7595,0.6758,0.6858,0.6975,,,,,,,0.7579,0.7172,0.8309,0.7986
Open Instruct LLMs,Llama-3.1-8B-Instruct,8,0.7860,0.7828,0.7989,0.8032,#DIV/0!,0.7813,0.8061,0.7782,0.7732,0.7815,0.8114,0.8100,0.7206,0.8174,0.7804,,,,,,,0.7911,0.7468,0.8525,0.8225
Open Instruct LLMs,Llama-3.3-70B-Instruct,70,0.8272,0.8214,0.8502,0.9217,#DIV/0!,0.8149,0.8285,0.8379,0.8143,0.8327,0.8514,0.8365,0.7551,0.8720,0.8283,,,,,,,0.9131,0.8983,0.9424,0.9329
Open Instruct LLMs,Qwen2.5-3B-Instruct,3,0.6988,0.6935,0.7200,0.6613,#DIV/0!,0.7380,0.7825,0.6435,0.7209,0.5861,0.7693,0.8067,0.5009,0.6417,0.7983,,,,,,,0.6359,0.5933,0.7254,0.6906
Open Instruct LLMs,Qwen2.5-7B-Instruct,7,0.7440,0.7381,0.7675,0.7599,#DIV/0!,0.7639,0.7964,0.7186,0.7378,0.6725,0.7874,0.8245,0.6036,0.7268,0.8082,,,,,,,0.7338,0.7098,0.8070,0.7890
Open Instruct LLMs,Qwen2.5-14B-Instruct,14,0.7757,0.7703,0.7970,0.8333,#DIV/0!,0.7773,0.8104,0.7704,0.7615,0.7186,0.8259,0.8375,0.6611,0.7634,0.8305,,,,,,,0.8152,0.7985,0.8669,0.8525
Open Instruct LLMs,Qwen2.5-72B-Instruct,72,0.8263,0.8221,0.8430,0.8844,#DIV/0!,0.8164,0.8365,0.8336,0.8211,0.8126,0.8611,0.8503,0.7452,0.8478,0.8381,,,,,,,0.8743,0.8503,0.9149,0.8981
Open Instruct LLMs,gemma-2-2b-it,2,0.6600,0.6507,0.6975,0.5869,#DIV/0!,0.6505,0.5488,0.6414,0.6478,0.6554,0.7137,0.7642,0.5835,0.6383,0.7567,,,,,,,0.5453,0.5194,0.6547,0.6283
Open Instruct LLMs,gemma-2-9b-it,9,0.7967,0.7953,0.8023,0.6686,#DIV/0!,0.7759,0.8050,0.8100,0.7918,0.8138,0.8184,0.8164,0.7310,0.8018,0.8027,,,,,,,0.6839,0.5434,0.7794,0.6679
Open Instruct LLMs,gemma-2-27b-it,27,0.8008,0.7952,0.8231,0.6660,#DIV/0!,0.7635,0.7903,0.8193,0.8005,0.8258,0.8123,0.8135,0.7367,0.8252,0.8209,,,,,,,0.6266,0.6007,0.7290,0.7074
