model,score,rating_q025,rating_q975,CI,avg_tokens,date
claude-3-7-sonnet-20250219,70.51,68.62,72.25,"(-1.89, +1.74)",834.0,2025-04-07
gpt-4o-2024-11-20,63.36,61.46,65.24,"(-1.90, +1.88)",784.0,2025-04-07
Widn__Tower-4-Vesuvius-SFT,53.1,50.78,55.34,"(-2.32, +2.24)",3316.0,2025-04-07
Qwen__Qwen2.5-72B-Instruct,50.0,50.0,50.0,"(-0.00, +0.00)",3546.0,2025-04-07
meta-llama__Llama-3.3-70B-Instruct,38.81,36.28,41.2,"(-2.53, +2.39)",3142.0,2025-04-07
Widn__Tower-4-Sugarloaf-WPO,32.85,30.73,34.35,"(-2.12, +1.50)",3742.0,2025-04-07
Widn__Tower-4-Sugarloaf,31.92,30.03,33.58,"(-1.89, +1.66)",3662.0,2025-04-07
google__gemma-2-27b-it,29.42,27.01,31.42,"(-2.41, +2.00)",2632.0,2025-04-07
CohereForAI__aya-expanse-32b,28.37,26.54,30.2,"(-1.83, +1.83)",2772.0,2025-04-07
Qwen__Qwen2.5-14B-Instruct,27.79,25.91,29.88,"(-1.88, +2.09)",2917.0,2025-04-07
Qwen__Qwen2.5-7B-Instruct,23.87,22.13,25.74,"(-1.74, +1.87)",3416.0,2025-04-07
CohereForAI__aya-expanse-8b,23.33,21.58,24.31,"(-1.75, +0.98)",2884.0,2025-04-07
Widn__Tower-4-Sugarloaf-SFT,22.01,20.51,23.61,"(-1.50, +1.60)",3495.0,2025-04-07
google__gemma-2-9b-it,18.54,17.32,19.99,"(-1.22, +1.45)",2492.0,2025-04-07
meta-llama__Llama-3.1-8B-Instruct,15.27,13.82,16.53,"(-1.45, +1.26)",4159.0,2025-04-07
Qwen__Qwen2.5-3B-Instruct,12.89,11.58,14.48,"(-1.31, +1.59)",4456.0,2025-04-07
google__gemma-2-2b-it,10.61,9.01,11.67,"(-1.60, +1.06)",3140.0,2025-04-07
Widn__Tower-3.0-vesuvius-241001,10.02,9.12,11.44,"(-0.90, +1.42)",2125.0,2025-04-07
meta-llama__Llama-3.2-3B-Instruct,6.66,5.97,7.41,"(-0.69, +0.75)",4436.0,2025-04-07
Widn__Tower-4-Anthill-WPO,5.16,4.24,5.83,"(-0.92, +0.67)",4101.0,2025-04-07
Widn__Tower-4-Anthill,4.85,4.15,5.61,"(-0.70, +0.76)",3822.0,2025-04-07
Widn__Tower-3.0-sugarloaf-241001,4.0,3.27,4.68,"(-0.73, +0.68)",2496.0,2025-04-07
Unbabel__Tower-Llama3-70B-WMT24-Merged-2106,3.68,2.89,4.29,"(-0.79, +0.61)",1837.0,2025-04-07
Widn__Tower-4-Anthill-SFT,3.34,2.69,4.03,"(-0.65, +0.69)",3847.0,2025-04-07
utter-project__EuroLLM-9B-Instruct,1.95,1.48,2.48,"(-0.47, +0.53)",2637.0,2025-04-07
meta-llama__Llama-2-13b-chat-hf,1.62,1.17,2.13,"(-0.45, +0.51)",2551.0,2025-04-07
meta-llama__Llama-2-7b-chat-hf,0.93,0.57,1.32,"(-0.36, +0.39)",2500.0,2025-04-07
Widn__Tower-3.0-anthill-241001,0.82,0.56,1.18,"(-0.26, +0.36)",2653.0,2025-04-07
mistralai__Mistral-7B-Instruct-v0.1,0.63,0.4,0.92,"(-0.23, +0.29)",2944.0,2025-04-07
Unbabel__Tower-Mistral-7B-Porfirissimo-2607,0.48,0.27,0.69,"(-0.21, +0.21)",2996.0,2025-04-07
Unbabel__TowerInstruct-13B-v0.1,0.44,0.25,0.66,"(-0.19, +0.22)",1573.0,2025-04-07
Unbabel__TowerInstruct-7B-v0.2,0.39,0.16,0.58,"(-0.23, +0.19)",1620.0,2025-04-07
Unbabel__TowerInstruct-Mistral-7B-v0.2,0.38,0.19,0.58,"(-0.19, +0.20)",1750.0,2025-04-07
haoranxu__ALMA-13B-R,0.19,0.07,0.36,"(-0.12, +0.17)",151.0,2025-04-07
ModelSpace__GemmaX2-28-9B-v0.1,0.15,0.06,0.28,"(-0.09, +0.13)",248.0,2025-04-07
haoranxu__ALMA-7B-R,0.14,0.04,0.23,"(-0.10, +0.09)",323.0,2025-04-07
utter-project__EuroLLM-1.7B-Instruct,0.1,0.0,0.2,"(-0.10, +0.10)",2554.0,2025-04-07
ModelSpace__GemmaX2-28-2B-v0.1,0.07,0.01,0.16,"(-0.06, +0.09)",208.0,2025-04-07
