model,score,rating_q025,rating_q975,CI,avg_tokens,date
claude-3-7-sonnet-20250219,70.51,68.35,72.74,"(-2.16, +2.23)",834.0,2025-04-06
gpt-4o-2024-11-20,63.36,61.33,65.54,"(-2.03, +2.18)",784.0,2025-04-06
Widn__Tower-4-Vesuvius-SFT,53.1,51.22,55.6,"(-1.88, +2.50)",3316.0,2025-04-06
Qwen__Qwen2.5-72B-Instruct,50.0,50.0,50.0,"(-0.00, +0.00)",3546.0,2025-04-06
meta-llama__Llama-3.3-70B-Instruct,38.81,36.13,41.31,"(-2.68, +2.50)",3142.0,2025-04-06
Widn__Tower-4-Sugarloaf,32.85,30.84,35.03,"(-2.01, +2.18)",3742.0,2025-04-06
google__gemma-2-27b-it,29.42,26.99,31.31,"(-2.43, +1.89)",2632.0,2025-04-06
CohereForAI__aya-expanse-32b,28.37,26.47,30.25,"(-1.90, +1.88)",2772.0,2025-04-06
Qwen__Qwen2.5-14B-Instruct,27.79,26.11,29.54,"(-1.68, +1.75)",2917.0,2025-04-06
Qwen__Qwen2.5-7B-Instruct,23.87,22.17,25.87,"(-1.70, +2.00)",3416.0,2025-04-06
CohereForAI__aya-expanse-8b,23.33,21.45,25.09,"(-1.88, +1.76)",2884.0,2025-04-06
Widn__Tower-4-Sugarloaf-SFT,22.01,20.5,23.7,"(-1.51, +1.69)",3495.0,2025-04-06
google__gemma-2-9b-it,18.54,17.19,19.96,"(-1.35, +1.42)",2492.0,2025-04-06
meta-llama__Llama-3.1-8B-Instruct,15.27,13.86,16.53,"(-1.41, +1.26)",4159.0,2025-04-06
Qwen__Qwen2.5-3B-Instruct,12.89,11.56,14.44,"(-1.33, +1.55)",4456.0,2025-04-06
google__gemma-2-2b-it,10.61,8.96,11.71,"(-1.65, +1.10)",3140.0,2025-04-06
Widn__Tower-3.0-vesuvius-241001,10.02,9.07,11.43,"(-0.95, +1.41)",2125.0,2025-04-06
meta-llama__Llama-3.2-3B-Instruct,6.66,5.97,7.42,"(-0.69, +0.76)",4436.0,2025-04-06
Widn__Tower-4-Anthill,5.16,4.35,5.96,"(-0.81, +0.80)",4101.0,2025-04-06
Widn__Tower-3.0-sugarloaf-241001,4.0,3.3,4.66,"(-0.70, +0.66)",2496.0,2025-04-06
Unbabel__Tower-Llama3-70B-WMT24-Merged-2106,3.68,2.89,4.28,"(-0.79, +0.60)",1837.0,2025-04-06
Widn__Tower-4-Anthill-SFT,3.34,2.71,3.99,"(-0.63, +0.65)",3847.0,2025-04-06
utter-project__EuroLLM-9B-Instruct,1.95,1.43,2.42,"(-0.52, +0.47)",2637.0,2025-04-06
meta-llama__Llama-2-13b-chat-hf,1.62,1.17,2.04,"(-0.45, +0.42)",2551.0,2025-04-06
meta-llama__Llama-2-7b-chat-hf,0.93,0.63,1.32,"(-0.30, +0.39)",2500.0,2025-04-06
Widn__Tower-3.0-anthill-241001,0.82,0.56,1.17,"(-0.26, +0.35)",2653.0,2025-04-06
mistralai__Mistral-7B-Instruct-v0.1,0.63,0.4,0.92,"(-0.23, +0.29)",2944.0,2025-04-06
Unbabel__Tower-Mistral-7B-Porfirissimo-2607,0.48,0.27,0.69,"(-0.21, +0.21)",2996.0,2025-04-06
Unbabel__TowerInstruct-13B-v0.1,0.44,0.24,0.66,"(-0.20, +0.22)",1573.0,2025-04-06
Unbabel__TowerInstruct-7B-v0.2,0.39,0.2,0.59,"(-0.19, +0.20)",1620.0,2025-04-06
Unbabel__TowerInstruct-Mistral-7B-v0.2,0.38,0.17,0.56,"(-0.21, +0.18)",1750.0,2025-04-06
haoranxu__ALMA-13B-R,0.19,0.07,0.31,"(-0.12, +0.12)",151.0,2025-04-06
ModelSpace__GemmaX2-28-9B-v0.1,0.15,0.07,0.27,"(-0.08, +0.12)",248.0,2025-04-06
haoranxu__ALMA-7B-R,0.14,0.04,0.23,"(-0.10, +0.09)",323.0,2025-04-06
utter-project__EuroLLM-1.7B-Instruct,0.1,0.0,0.19,"(-0.10, +0.09)",2554.0,2025-04-06
ModelSpace__GemmaX2-28-2B-v0.1,0.07,0.0,0.16,"(-0.07, +0.09)",208.0,2025-04-06
