model,score,rating_q025,rating_q975,CI,avg_tokens,date
claude-3-7-sonnet-20250219,58.75,56.81,60.92,"(-1.94, +2.17)",865.0,2025-04-07
gpt-4o-2024-11-20,56.27,53.84,58.51,"(-2.43, +2.24)",923.0,2025-04-07
Widn__Tower-4-Vesuvius-SFT,52.51,50.92,54.72,"(-1.59, +2.21)",3246.0,2025-04-07
Qwen__Qwen2.5-72B-Instruct,50.0,50.0,50.0,"(-0.00, +0.00)",3404.0,2025-04-07
Widn__Tower-4-Sugarloaf,34.26,33.17,35.36,"(-1.09, +1.10)",3473.0,2025-04-07
CohereForAI__aya-expanse-32b,30.81,28.21,32.77,"(-2.60, +1.96)",2994.0,2025-04-07
CohereForAI__aya-expanse-8b,26.42,24.71,28.31,"(-1.71, +1.89)",3054.0,2025-04-07
meta-llama__Llama-3.3-70B-Instruct,25.27,23.29,27.39,"(-1.98, +2.12)",2717.0,2025-04-07
Widn__Tower-4-Sugarloaf-SFT,23.02,21.12,24.56,"(-1.90, +1.54)",3205.0,2025-04-07
google__gemma-2-27b-it,21.15,19.44,22.75,"(-1.71, +1.60)",2384.0,2025-04-07
Qwen__Qwen2.5-7B-Instruct,18.92,17.5,20.52,"(-1.42, +1.60)",3353.0,2025-04-07
Qwen__Qwen2.5-14B-Instruct,18.07,16.66,19.81,"(-1.41, +1.74)",2711.0,2025-04-07
google__gemma-2-9b-it,14.09,12.37,15.53,"(-1.72, +1.44)",2190.0,2025-04-07
google__gemma-2-2b-it,7.6,6.57,8.86,"(-1.03, +1.26)",2828.0,2025-04-07
meta-llama__Llama-3.1-8B-Instruct,6.72,5.8,7.61,"(-0.92, +0.89)",3700.0,2025-04-07
Widn__Tower-4-Anthill,5.99,5.48,6.34,"(-0.51, +0.35)",3867.0,2025-04-07
Qwen__Qwen2.5-3B-Instruct,5.17,4.42,6.07,"(-0.75, +0.90)",5578.0,2025-04-07
Unbabel__Tower-Llama3-70B-WMT24-Merged-2106,4.94,3.97,5.69,"(-0.97, +0.75)",1962.0,2025-04-07
Widn__Tower-3.0-vesuvius-241001,4.41,3.8,5.17,"(-0.61, +0.76)",1951.0,2025-04-07
utter-project__EuroLLM-9B-Instruct,4.34,3.62,5.08,"(-0.72, +0.74)",2793.0,2025-04-07
Widn__Tower-4-Anthill-SFT,2.95,2.37,3.64,"(-0.58, +0.69)",4246.0,2025-04-07
Widn__Tower-3.0-sugarloaf-241001,2.64,2.12,3.22,"(-0.52, +0.58)",2177.0,2025-04-07
meta-llama__Llama-3.2-3B-Instruct,2.57,2.09,3.12,"(-0.48, +0.55)",3225.0,2025-04-07
meta-llama__Llama-2-7b-chat-hf,1.24,0.86,1.57,"(-0.38, +0.33)",2397.0,2025-04-07
meta-llama__Llama-2-13b-chat-hf,1.0,0.7,1.37,"(-0.30, +0.37)",2376.0,2025-04-07
Unbabel__Tower-Mistral-7B-Porfirissimo-2607,0.93,0.6,1.37,"(-0.33, +0.44)",3506.0,2025-04-07
mistralai__Mistral-7B-Instruct-v0.1,0.64,0.42,0.9,"(-0.22, +0.26)",4253.0,2025-04-07
Widn__Tower-3.0-anthill-241001,0.59,0.39,0.85,"(-0.20, +0.26)",3154.0,2025-04-07
Unbabel__TowerInstruct-13B-v0.1,0.33,0.17,0.53,"(-0.16, +0.20)",1789.0,2025-04-07
Unbabel__TowerInstruct-Mistral-7B-v0.2,0.29,0.13,0.5,"(-0.16, +0.21)",1741.0,2025-04-07
Unbabel__TowerInstruct-7B-v0.2,0.28,0.13,0.49,"(-0.15, +0.21)",1724.0,2025-04-07
ModelSpace__GemmaX2-28-2B-v0.1,0.19,0.08,0.32,"(-0.11, +0.13)",217.0,2025-04-07
haoranxu__ALMA-13B-R,0.19,0.08,0.31,"(-0.11, +0.12)",246.0,2025-04-07
ModelSpace__GemmaX2-28-9B-v0.1,0.1,0.02,0.19,"(-0.08, +0.09)",217.0,2025-04-07
haoranxu__ALMA-7B-R,0.05,0.0,0.11,"(-0.05, +0.06)",444.0,2025-04-07
utter-project__EuroLLM-1.7B-Instruct,0.05,0.0,0.12,"(-0.05, +0.07)",3187.0,2025-04-07
