model,score,rating_q025,rating_q975,CI,avg_tokens,date
claude-3-7-sonnet-20250219,66.36,64.47,67.6,"(-1.89, +1.24)",898.0,2025-04-07
gpt-4o-2024-11-20,56.51,55.0,58.59,"(-1.51, +2.08)",903.0,2025-04-07
Widn__Tower-4-Vesuvius-SFT,54.1,52.14,55.52,"(-1.96, +1.42)",3341.0,2025-04-07
Qwen__Qwen2.5-72B-Instruct,50.0,50.0,50.0,"(-0.00, +0.00)",3573.0,2025-04-07
Widn__Tower-4-Sugarloaf,31.46,30.35,32.34,"(-1.11, +0.88)",3653.0,2025-04-07
Widn__Tower-4-Sugarloaf-SFT,23.93,21.82,25.26,"(-2.11, +1.33)",3414.0,2025-04-07
CohereForAI__aya-expanse-32b,23.45,21.76,25.39,"(-1.69, +1.94)",2864.0,2025-04-07
Qwen__Qwen2.5-7B-Instruct,21.49,19.77,23.31,"(-1.72, +1.82)",3634.0,2025-04-07
meta-llama__Llama-3.3-70B-Instruct,20.09,18.65,21.57,"(-1.44, +1.48)",2856.0,2025-04-07
CohereForAI__aya-expanse-8b,20.05,18.61,21.8,"(-1.44, +1.75)",2943.0,2025-04-07
google__gemma-2-27b-it,18.55,17.03,19.89,"(-1.52, +1.34)",2457.0,2025-04-07
Qwen__Qwen2.5-14B-Instruct,15.47,14.07,16.98,"(-1.40, +1.51)",2948.0,2025-04-07
google__gemma-2-9b-it,10.33,8.64,11.21,"(-1.69, +0.88)",2282.0,2025-04-07
meta-llama__Llama-3.1-8B-Instruct,7.7,6.83,8.34,"(-0.87, +0.64)",3426.0,2025-04-07
google__gemma-2-2b-it,7.63,6.69,8.45,"(-0.94, +0.82)",3001.0,2025-04-07
Qwen__Qwen2.5-3B-Instruct,5.35,4.7,6.15,"(-0.65, +0.80)",4756.0,2025-04-07
Widn__Tower-4-Anthill,5.23,4.74,5.64,"(-0.49, +0.41)",3759.0,2025-04-07
utter-project__EuroLLM-9B-Instruct,4.42,3.64,5.23,"(-0.78, +0.81)",2785.0,2025-04-07
Widn__Tower-3.0-vesuvius-241001,4.25,3.58,4.94,"(-0.67, +0.69)",1853.0,2025-04-07
meta-llama__Llama-3.2-3B-Instruct,3.84,3.3,4.59,"(-0.54, +0.75)",3845.0,2025-04-07
Unbabel__Tower-Llama3-70B-WMT24-Merged-2106,3.28,2.78,3.86,"(-0.50, +0.58)",1820.0,2025-04-07
Widn__Tower-4-Anthill-SFT,2.99,2.45,3.67,"(-0.54, +0.68)",3714.0,2025-04-07
Widn__Tower-3.0-sugarloaf-241001,2.01,1.55,2.51,"(-0.46, +0.50)",2157.0,2025-04-07
meta-llama__Llama-2-13b-chat-hf,1.14,0.82,1.57,"(-0.32, +0.43)",2443.0,2025-04-07
meta-llama__Llama-2-7b-chat-hf,0.84,0.57,1.21,"(-0.27, +0.37)",2513.0,2025-04-07
Unbabel__Tower-Mistral-7B-Porfirissimo-2607,0.64,0.39,0.89,"(-0.25, +0.25)",2967.0,2025-04-07
Unbabel__TowerInstruct-13B-v0.1,0.56,0.29,0.9,"(-0.27, +0.34)",1633.0,2025-04-07
haoranxu__ALMA-13B-R,0.38,0.21,0.51,"(-0.17, +0.13)",142.0,2025-04-07
mistralai__Mistral-7B-Instruct-v0.1,0.36,0.18,0.59,"(-0.18, +0.23)",3859.0,2025-04-07
Widn__Tower-3.0-anthill-241001,0.34,0.16,0.53,"(-0.18, +0.19)",2796.0,2025-04-07
ModelSpace__GemmaX2-28-2B-v0.1,0.3,0.21,0.42,"(-0.09, +0.12)",269.0,2025-04-07
Unbabel__TowerInstruct-7B-v0.2,0.26,0.13,0.41,"(-0.13, +0.15)",1616.0,2025-04-07
ModelSpace__GemmaX2-28-9B-v0.1,0.18,0.1,0.31,"(-0.08, +0.13)",427.0,2025-04-07
Unbabel__TowerInstruct-Mistral-7B-v0.2,0.17,0.07,0.33,"(-0.10, +0.16)",1674.0,2025-04-07
haoranxu__ALMA-7B-R,0.17,0.04,0.31,"(-0.13, +0.14)",546.0,2025-04-07
utter-project__EuroLLM-1.7B-Instruct,0.0,0.0,0.0,"(-0.00, +0.00)",3104.0,2025-04-07
