model,score,rating_q025,rating_q975,CI,avg_tokens,date
claude-3-7-sonnet-20250219,67.8,65.78,70.03,"(-2.02, +2.23)",1083.0,2025-04-07
gpt-4o-2024-11-20,61.38,59.23,63.42,"(-2.15, +2.04)",1096.0,2025-04-07
Widn__Tower-4-Vesuvius-SFT,54.53,52.11,56.51,"(-2.42, +1.98)",2879.0,2025-04-07
Qwen__Qwen2.5-72B-Instruct,50.0,50.0,50.0,"(-0.00, +0.00)",3082.0,2025-04-07
meta-llama__Llama-3.3-70B-Instruct,35.08,33.36,36.98,"(-1.72, +1.90)",2957.0,2025-04-07
Widn__Tower-4-Sugarloaf,32.3,31.29,33.76,"(-1.01, +1.46)",3314.0,2025-04-07
CohereForAI__aya-expanse-32b,30.55,28.66,32.53,"(-1.89, +1.98)",2659.0,2025-04-07
Widn__Tower-4-Sugarloaf-SFT,23.84,22.32,25.12,"(-1.52, +1.28)",3284.0,2025-04-07
google__gemma-2-27b-it,22.78,21.06,24.63,"(-1.72, +1.85)",2224.0,2025-04-07
CohereForAI__aya-expanse-8b,22.2,20.13,23.99,"(-2.07, +1.79)",2776.0,2025-04-07
Qwen__Qwen2.5-7B-Instruct,17.45,15.79,18.89,"(-1.66, +1.44)",2642.0,2025-04-07
Qwen__Qwen2.5-14B-Instruct,15.71,14.02,17.12,"(-1.69, +1.41)",2258.0,2025-04-07
google__gemma-2-9b-it,11.73,10.57,13.13,"(-1.16, +1.40)",2021.0,2025-04-07
google__gemma-2-2b-it,10.61,9.73,11.67,"(-0.88, +1.06)",2783.0,2025-04-07
meta-llama__Llama-3.1-8B-Instruct,7.14,6.08,7.83,"(-1.06, +0.69)",3442.0,2025-04-07
Widn__Tower-3.0-vesuvius-241001,6.0,5.29,6.79,"(-0.71, +0.79)",1726.0,2025-04-07
utter-project__EuroLLM-9B-Instruct,5.53,4.7,6.45,"(-0.83, +0.92)",2654.0,2025-04-07
Widn__Tower-4-Anthill,5.13,4.72,5.55,"(-0.41, +0.42)",3197.0,2025-04-07
Qwen__Qwen2.5-3B-Instruct,4.97,4.23,5.91,"(-0.74, +0.94)",3497.0,2025-04-07
Unbabel__Tower-Llama3-70B-WMT24-Merged-2106,4.77,4.08,5.58,"(-0.69, +0.81)",1779.0,2025-04-07
Widn__Tower-4-Anthill-SFT,2.83,2.43,3.46,"(-0.40, +0.63)",3199.0,2025-04-07
Widn__Tower-3.0-sugarloaf-241001,2.44,1.87,2.99,"(-0.57, +0.55)",1977.0,2025-04-07
meta-llama__Llama-3.2-3B-Instruct,1.96,1.45,2.43,"(-0.51, +0.47)",5162.0,2025-04-07
meta-llama__Llama-2-7b-chat-hf,1.44,1.11,1.83,"(-0.33, +0.39)",2381.0,2025-04-07
mistralai__Mistral-7B-Instruct-v0.1,1.11,0.84,1.49,"(-0.27, +0.38)",4840.0,2025-04-07
meta-llama__Llama-2-13b-chat-hf,1.04,0.69,1.38,"(-0.35, +0.34)",2326.0,2025-04-07
Unbabel__Tower-Mistral-7B-Porfirissimo-2607,0.88,0.62,1.18,"(-0.26, +0.30)",3079.0,2025-04-07
Unbabel__TowerInstruct-Mistral-7B-v0.2,0.79,0.45,1.1,"(-0.34, +0.31)",1749.0,2025-04-07
Widn__Tower-3.0-anthill-241001,0.48,0.25,0.73,"(-0.23, +0.25)",2636.0,2025-04-07
Unbabel__TowerInstruct-13B-v0.1,0.38,0.22,0.63,"(-0.16, +0.25)",1622.0,2025-04-07
ModelSpace__GemmaX2-28-9B-v0.1,0.25,0.13,0.4,"(-0.12, +0.15)",286.0,2025-04-07
utter-project__EuroLLM-1.7B-Instruct,0.1,0.01,0.22,"(-0.09, +0.12)",3432.0,2025-04-07
ModelSpace__GemmaX2-28-2B-v0.1,0.07,0.01,0.14,"(-0.06, +0.07)",289.0,2025-04-07
haoranxu__ALMA-13B-R,0.05,0.0,0.11,"(-0.05, +0.06)",229.0,2025-04-07
Unbabel__TowerInstruct-7B-v0.2,0.04,0.0,0.12,"(-0.04, +0.08)",1500.0,2025-04-07
haoranxu__ALMA-7B-R,0.03,0.0,0.1,"(-0.03, +0.07)",462.0,2025-04-07
