model,score,rating_q025,rating_q975,CI,avg_tokens,date
claude-3-7-sonnet-20250219,71.58,69.37,73.2,"(-2.21, +1.62)",1039.0,2025-04-06
gpt-4o-2024-11-20,68.44,66.8,70.06,"(-1.64, +1.62)",1023.0,2025-04-06
Widn__Tower-4-Vesuvius-SFT,58.34,56.41,60.61,"(-1.93, +2.27)",1743.0,2025-04-06
Qwen__Qwen2.5-72B-Instruct,50.0,50.0,50.0,"(-0.00, +0.00)",1805.0,2025-04-06
Widn__Tower-4-Sugarloaf,36.25,34.31,37.29,"(-1.94, +1.04)",1985.0,2025-04-06
meta-llama__Llama-3.3-70B-Instruct,31.54,28.67,33.11,"(-2.87, +1.57)",1493.0,2025-04-06
CohereForAI__aya-expanse-32b,30.29,28.66,32.42,"(-1.63, +2.13)",1336.0,2025-04-06
Widn__Tower-4-Sugarloaf-SFT,26.1,23.97,27.78,"(-2.13, +1.68)",1888.0,2025-04-06
CohereForAI__aya-expanse-8b,25.57,24.15,27.09,"(-1.42, +1.52)",1346.0,2025-04-06
google__gemma-2-27b-it,22.17,20.34,23.85,"(-1.83, +1.68)",1301.0,2025-04-06
Qwen__Qwen2.5-7B-Instruct_30_n_best_qad_w_ours_7B,21.65,20.22,23.7,"(-1.43, +2.05)",1607.0,2025-04-06
Qwen__Qwen2.5-14B-Instruct,19.87,18.35,20.97,"(-1.52, +1.10)",1447.0,2025-04-06
Qwen__Qwen2.5-7B-Instruct_30_n_best_qad_w_ours_3B,19.7,18.14,20.87,"(-1.56, +1.17)",1635.0,2025-04-06
Qwen2.5-14B-Instruct,19.63,18.51,21.62,"(-1.12, +1.99)",786.0,2025-04-06
Qwen__Qwen2.5-7B-Instruct_30_n_best_qad_w_ours_14B,19.43,17.78,20.81,"(-1.65, +1.38)",1902.0,2025-04-06
Qwen2.5-7B-Instruct,17.66,16.26,19.7,"(-1.40, +2.04)",860.0,2025-04-06
Qwen__Qwen2.5-7B-Instruct,17.61,16.25,18.83,"(-1.36, +1.22)",1429.0,2025-04-06
Qwen__Qwen2.5-7B-Instruct_30_n_best_qad_w_qwen_7,16.21,14.85,17.44,"(-1.36, +1.23)",1436.0,2025-04-06
Qwen__Qwen2.5-7B-Instruct_30_n_best_qad_w_qwen_14,16.02,14.94,17.53,"(-1.08, +1.51)",1399.0,2025-04-06
Qwen__Qwen2.5-7B-Instruct_30_n_best_qad_w_qwen_3,15.91,14.31,18.05,"(-1.60, +2.14)",1430.0,2025-04-06
google__gemma-2-9b-it,12.24,11.14,13.47,"(-1.10, +1.23)",1138.0,2025-04-06
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_multilingual_data_5_langs,11.94,10.91,13.77,"(-1.03, +1.83)",1622.0,2025-04-06
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_add_multilingual,11.68,10.26,12.86,"(-1.42, +1.18)",1604.0,2025-04-06
google__gemma-2-2b-it,11.52,10.38,12.64,"(-1.14, +1.12)",2531.0,2025-04-06
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_ours_7B,11.44,10.24,12.87,"(-1.20, +1.43)",1786.0,2025-04-06
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_hercule_hi,10.96,9.7,12.25,"(-1.26, +1.29)",1529.0,2025-04-06
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_ours_7B_REAL,10.71,9.42,11.84,"(-1.29, +1.13)",1750.0,2025-04-06
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_translated_data_3_langs_REAL,10.67,9.33,12.02,"(-1.34, +1.35)",1479.0,2025-04-06
Qwen__Qwen2.5-3B-Instruct_30_n_best_qad_w_hercule_fr,10.25,8.89,11.21,"(-1.36, +0.96)",1621.0,2025-04-06
